NU_ANO_CENSO|ID_GESTOR|NU_MES|NU_ANO|NU_IDADE_REFERENCIA|NU_IDADE|TP_SEXO|TP_COR_RACA|TP_NACIONALIDADE|CO_PAIS_ORIGEM|CO_UF_NASC|CO_MUNICIPIO_NASC|IN_NECESSIDADE_ESPECIAL|IN_BAIXA_VISAO|IN_CEGUEIRA|IN_DEF_AUDITIVA|IN_DEF_FISICA|IN_DEF_INTELECTUAL|IN_SURDEZ|IN_SURDOCEGUEIRA|IN_DEF_MULTIPLA|IN_AUTISMO|IN_SUPERDOTACAO|TP_ESCOLARIDADE|TP_ENSINO_MEDIO|CO_AREA_CURSO_1|CO_CURSO_1|IN_LICENCIATURA_1|NU_ANO_CONCLUSAO_1|TP_TIPO_IES_1|CO_IES_1|CO_AREA_CURSO_2|CO_CURSO_2|IN_LICENCIATURA_2|NU_ANO_CONCLUSAO_2|TP_TIPO_IES_2|CO_IES_2|IN_ESPECIALIZACAO|IN_MESTRADO|IN_DOUTORADO|IN_POS_NENHUM|IN_ESPECIFICO_CRECHE|IN_ESPECIFICO_PRE_ESCOLA|IN_ESPECIFICO_ANOS_INICIAIS|IN_ESPECIFICO_ANOS_FINAIS|IN_ESPECIFICO_ENS_MEDIO|IN_ESPECIFICO_EJA|IN_ESPECIFICO_ED_ESPECIAL|IN_ESPECIFICO_ED_INDIGENA|IN_ESPECIFICO_CAMPO|IN_ESPECIFICO_AMBIENTAL|IN_ESPECIFICO_DIR_HUMANOS|IN_ESPECIFICO_DIV_SEXUAL|IN_ESPECIFICO_DIR_ADOLESC|IN_ESPECIFICO_AFRO|IN_ESPECIFICO_GESTAO|IN_ESPECIFICO_OUTROS|IN_ESPECIFICO_NENHUM|TP_CARGO_GESTOR|TP_TIPO_ACESSO_CARGO|TP_TIPO_CONTRATACAO|CO_ENTIDADE|CO_REGIAO|CO_MESORREGIAO|CO_MICRORREGIAO|CO_UF|CO_MUNICIPIO|CO_DISTRITO|TP_DEPENDENCIA|TP_LOCALIZACAO|TP_CATEGORIA_ESCOLA_PRIVADA|IN_CONVENIADA_PP|TP_CONVENIO_PODER_PUBLICO|IN_MANT_ESCOLA_PRIVADA_EMP|IN_MANT_ESCOLA_PRIVADA_ONG|IN_MANT_ESCOLA_PRIV_ONG_OSCIP|IN_MANT_ESCOLA_PRIVADA_OSCIP|IN_MANT_ESCOLA_PRIVADA_SIND|IN_MANT_ESCOLA_PRIVADA_SIST_S|IN_MANT_ESCOLA_PRIVADA_S_FINS|TP_REGULAMENTACAO|TP_LOCALIZACAO_DIFERENCIADA|IN_EDUCACAO_INDIGENA
2020|4DB5EA2C324E1C7643FAE393C8C5F97F|1|1976|44|44|1|5|1|76|14.0|1400407.0|0|||||||||||4||0.0|0113E031|1|2012.0|1.0|789.0|||0||||0.0|0.0|0.0|1.0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|2|||14003295|1|1401|14002|14|1400704|140070405|2|2|||||||||||1|2|1
2020|44BCFF840363F93D380B9AFB5A6947C7|12|1964|55|56|2|5|1|76|14.0|1400407.0|0|||||||||||3|2.0|||0||||||0||||||||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|||14003309|1|1401|14002|14|1400704|140070405|2|2|||||||||||1|2|1
2020|3F6BADECC2C5490FB41820CD426BB228|3|1977|43|43|1|5|1|76|14.0|1400704.0|0|||||||||||4||0.0|0113E031|1|2009.0|1.0|789.0|||0||||0.0|0.0|0.0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|2.0|2.0|14003317|1|1401|14002|14|1400704|140070405|2|2|||||||||||1|2|1
2020|C84899B5D4751FEB34AC9092D8F5DD77|8|1988|31|32|2|5|1|76|14.0|1400704.0|0|||||||||||3|1.0|||0||||||0||||||||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|||14003325|1|1401|14002|14|1400704|140070405|2|2|||||||||||1|2|1
2020|83DE677A5649FA8170EFFF8869D89004|6|1976|43|44|1|5|1|76|14.0|1400407.0|0|||||||||||3|4.0|||0||||||0||||||||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|||14003333|1|1401|14002|14|1400407|140040705|2|2|||||||||||1|2|1
2020|B334FF511710A4EDA34CFEDD679B4830|5|1968|52|52|1|0|1|76|14.0|1400100.0|0|||||||||||3|2.0|||0||||||0||||||||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|||14003341|1|1401|14002|14|1400407|140040705|2|2|||||||||||1|2|1
2020|A787794B22B0A82EAF30CCE41C3121C5|4|1983|37|37|1|5|1|76|14.0|1400704.0|0|||||||||||4||0.0|0113E031|1|2012.0|1.0|789.0|||0||||0.0|0.0|0.0|1.0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|2|||14003350|1|1401|14002|14|1400704|140070405|2|2|||||||||||1|2|1
2020|D281C7265C26527AECCCC8DA00221EAE|5|1986|34|34|1|5|1|76|14.0|1400407.0|0|||||||||||3|1.0|||0||||||0||||||||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|||14003368|1|1401|14002|14|1400407|140040705|2|2|||||||||||1|2|1
2020|A473341382DB832BFB54C3843AA4AA20|12|1980|39|40|2|5|1|76|14.0|1400456.0|0|||||||||||4||0.0|0114C031|1|2014.0|1.0|789.0|||0||||0.0|0.0|0.0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|2|||14003384|1|1401|14002|14|1400704|140070405|2|2|||||||||||1|2|1
2020|4A2C1F6F79759048FC09A2FFA9C83ECA|8|1975|44|45|1|5|1|76|14.0|1400407.0|0|||||||||||4||0.0|0113E031|1|2011.0|1.0|789.0|||0||||0.0|0.0|0.0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|||14003392|1|1401|14002|14|1400704|140070405|2|2|||||||||||1|2|1
